timestamp,mint,ticker,marketCapSol,devHoldingPct,uniqueBuyers,buyCount,sellCount,buyVolSOL,avgBuySize,priceChangePct,momentum,buyToSellRatio,buyVelocity,devSold,bundled,tokenAgeSec,priceAtSnipe,entryPrice,exitPrice,pnlSol,pnlPct,peakPct,exitReason,holdTimeSec,mode,deployerTier,avgBuyIntervalMs,lastBuyAgoMs,devRebuy,topHolderPct,top5HolderPct,devWallet,uniqueWallets,liquiditySOL,risk,tradeCount,bundleCount,tradeId,ledgerCost,ledgerReceived,realizedSource,dataQuality,entryScore,entryReasons,entryBlockedReasons,mfePct,maePct,timeToMFESec,timeToMAESec,pnlAt5s,pnlAt10s,buyersAt10s,buyersAt30s,buyVolAt10s,sellVolAt10s,devFirstSellAgeSec,devNetFlowSOL,devExitedCompletely,isReentry,reentryFromTradeId,reentryOriginalPeak
2026-03-15T21:47:39.889Z,A2PREcKxZF5p7Zcn,AGENT,37.62,11.1,1,1,0,1.343,1.343,8.2,flat,99,1,N,N,0,3.762162161513509e-8,3.8374054047437796e-8,2.7997116006658082e-8,-0.0450,-30.0,-1.8621244342789802,T5BAIL -27.0% @6s (peak -1.9%),5,DATA_GATHER,B,,,N,100.0,100.0,38aAb7NFAe5SXvwS,1,34.80,HIGH,1,0,A2PREcKxZF5p7Zcn_mmsacmpd_5119u8,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.9,-27.0,1.4,5.6,-27.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:42.094Z,8WZKQxGUWUAqwQ8M,PIGEON,36.77,12.6,1,1,0,0.010,0.010,2.4,flat,99,1,N,N,1,3.677304623998621e-8,3.750850716478593e-8,3.434681257034341e-8,-0.0182,-12.1,0.903593508969553,T5BAIL -8.4% @5s (peak 0.9%),4,DATA_GATHER,B,,,N,100.0,100.0,AV7PjXHL5JXZ1YoY,1,34.41,HIGH,1,0,8WZKQxGUWUAqwQ8M_mmsacoem_l0g5ru,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.9,-23.8,2.7,2.4,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:41.177Z,95TxxY5b6GLJruMH,Kitbull,33.75,9.6,0,0,1,0.000,0.000,0.0,flat,0,0,N,N,6,3.375448670917235e-8,3.4429576443355794e-8,3.385569950188232e-8,-0.0085,-5.6,-1.6668138291437422,STALE_FEED,12,DATA_GATHER,B,,99999,N,0.0,0.0,27pmLbociGPhKzHN,1,32.96,HIGH,1,0,95TxxY5b6GLJruMH_mmsacnp5_yne8ma,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.7,-1.7,0.4,0.4,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:48.056Z,ET75dJUkZm7oFzSR,SOL,27.98,0.0,1,1,0,0.010,0.010,0.1,flat,99,1,N,N,1,2.7977637750224312e-8,2.85371905052288e-8,2.7977637750224312e-8,-0.0089,-5.9,-1.960784313725495,STALE_FEED,7,DATA_GATHER,B,,,N,100.0,100.0,8qq38Uf3Y6PWrNXY,1,30.01,MED,1,0,ET75dJUkZm7oFzSR_mmsact08_x0ou1r,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:39.214Z,6yqXzJn2avoDty8F,Company,53.85,6.6,17,18,0,3.091,0.172,69.5,up,99,3.6,N,N,5,5.384945200445075e-8,5.492644104453976e-8,2.8253781934512398e-8,-0.0760,-50.7,10.144512192279867,BE -48.6% (peak 10.1%) [stale],18,DATA_GATHER,B,427,,N,28.1,77.2,EjU1u9zpso9Zfshs,17,41.63,MED,18,0,6yqXzJn2avoDty8F_mmsacm6m_i8dp49,0.1500,0.0000,execution_log,100,0,MOMENTUM|LIQUIDITY|HOLDER_QUALITY|NO_BUNDLE|DEV_OK|FLOW|ENTRY_IMPACT_OK,LOW_TRADES|AGE_WINDOW|LOW_SCORE,10.1,-48.6,0.9,12.3,-46.8,-48.6,21,0,5.610,0.599,,0.0000,N,N,,0
2026-03-15T21:47:55.413Z,5t8MQWAgsBRnJcke,UNITY,35.62,9.6,1,1,0,0.900,0.900,5.5,flat,99,1,N,N,0,3.562287268233407e-8,3.633533013598075e-8,3.355128783367705e-8,-0.0171,-11.4,-1.91839695558659,T5BAIL -7.7% @4s (peak -1.9%),4,DATA_GATHER,B,,,N,100.0,100.0,mmtXv3s3SgRCvqRD,1,33.86,HIGH,1,0,5t8MQWAgsBRnJcke_mmsacyol_fhq3ta,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.9,-15.4,0.1,2.4,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:50.414Z,BYHRcET3YU1PkKcA,PIGEON,37.41,12.6,1,1,0,0.700,0.700,4.2,flat,99,1,N,N,0,3.7405716334969336e-8,3.8153830661668724e-8,2.7958993476234855e-8,-0.0445,-29.7,-1.9607843137254932,SL -26.7% [stale],9,DATA_GATHER,B,,,N,100.0,100.0,AV7PjXHL5JXZ1YoY,1,34.70,HIGH,1,0,BYHRcET3YU1PkKcA_mmsacutq_mn4g9h,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-24.0,-26.7,3.7,4.0,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:47:55.807Z,EdQwQPEjZRoGTRn7,MTW COIN,28.08,0.2,1,1,0,0.003,0.003,0.0,flat,99,1,N,N,1,2.8075910863877263e-8,2.863742908115481e-8,2.80099581045803e-8,-0.0092,-6.1,-1.8815162213209193,T5BAIL -2.2% @5s (peak -1.9%),4,DATA_GATHER,B,,,N,100.0,100.0,HJrHyFnC1PdgB5Dh,1,30.06,MED,1,0,EdQwQPEjZRoGTRn7_mmsacyzj_fj6c6h,0.1500,0.0000,execution_log,100,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.9,-2.2,0.7,4.7,0.0,0.0,0,0,0.000,0.000,,0.0000,N,N,,0
2026-03-15T21:48:00.138Z,CF1sGUJ4DMhn9w7S,PIGEON,27.96,12.6,0,0,1,0.000,0.000,-22.1,flat,0,0,Y,N,2,2.7958993476234855e-8,2.8518173345759554e-8,2.7977221566477262e-8,-0.0088,-5.9,-1.8968668600323484,STALE_FEED,13,DATA_GATHER,B,,99999,N,0.0,0.0,AV7PjXHL5JXZ1YoY,1,30.00,HIGH,1,0,CF1sGUJ4DMhn9w7S_mmsad2bu_d5chz7,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,-1.9,-1.9,1.0,1.0,0.0,0.0,0,0,0.000,0.000,2.1,-4.0000,Y,N,,0
2026-03-15T21:48:08.045Z,HNrJBE1mWnLqzCpa,PIGEON,27.96,12.6,0,0,1,0.000,0.000,-22.1,flat,0,0,Y,N,2,2.7958993476234855e-8,2.8518173345759554e-8,2.7958993476234855e-8,-0.0089,-5.9,-1.9607843137254963,STALE_FEED,7,DATA_GATHER,B,,99999,N,0.0,0.0,AV7PjXHL5JXZ1YoY,1,30.00,HIGH,1,0,HNrJBE1mWnLqzCpa_mmsad8fh_7n3qmd,0.1500,0.0000,execution_log,63,0,LIQUIDITY|NO_BUNDLE|DEV_OK|ENTRY_IMPACT_OK,NO_MOMENTUM|WEAK_HOLDERS|LOW_TRADES|SELL_PRESSURE|AGE_WINDOW|LOW_SCORE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000,0.000,1.8,-4.0000,Y,N,,0
